id,step_number,sort_order,question,label_name,name,field_type,field_choices,hold_status,hold_condition,is_chaining,chaining_condition,chain_question_id,created_at,created_by,updated_at,updated_by,is_verified,states_list,Comment,is_deleted_b,row
22,,1700,"Are you an active or retired Medical Doctor, Registered Nurse, Nurse Practitioner,
Licensed Practical Nurse, Physician’s Assistant or Naturopathic Doctor?",Retired Medical Professional,retiredMedicalProfessional,radio-question,"Yes
No",,,FALSE,,,6/11/2018,V9.0.91,9/13/2018,V9.0.91,TRUE,,,FALSE,17
23,,1800,Does your business use a written consent form?,Written Consent Form,writtenConsentForm,radio-question,"Always
Most of the time
Sometimes
Never",,,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,,FALSE,18
24,,1900,"Are you or any of your employees an active Medical Doctor, Midwife, Nurse Practitioner, Physician’s Assistant, Register Nurse, Licensed Practical Nurse, or
Naturopathic doctor?",Active Medical Professional,activeMedicalProfessional,radio-question,"Yes
No",None,,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,,FALSE,19
25,,2000,"If required by state law, do you or the principal of your firm maintain current and valid professional training, certifications, licenses or designations for all services you provide?",Valid Professional Training,validProfessionalTraining,radio-question,"Yes
No
Not Required",KO,NO,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,,FALSE,20
26,,2100,Approximately when did your business begin?,Business Begin,businessBegin,input-question,,None,,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,FALSE,21
27,,2200,Which of the following services does your business provide (check all that apply)?,Business Services,businessServices,checkbox-question,"Bookkeeping/Payroll services
Personal Tax & Business Tax Returns
Enrolled Agents
Business Consulting
Certified Public Accounting
Estate Tax Returns
Forensic Accounting
Litigation Support
Business Valuations/Forecasts
Auditing/Attestation Services",,,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,,FALSE,22
28,,2300,"Does your business manage or participate in any of the following services?
* Auditing for financial institutions or pensions
* Financial planning as a registered financial advisor
* Tax shelters
* Investment advice
* Mergers & acquisitions
* Public audits, SEC audits, high net worth auditing ($10M+ clients)
* Trustee services",Services Participated In,servicesParticipatedIn,radio-question,"Yes
No",KO,Yes,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,,FALSE,23
29,,2400,What is your business’s primary type of client?,Primary Client Type,primaryClientType,radio-question,"Businesses
Non-publicly known individuals/families
Publicly known individuals/families
Government – Federal
Government
Non-Profit or Charities
Other; please explain",None,,TRUE,Other; please explain,1243,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,remove softhold for other.,FALSE,24
30,,2500,Does your business provide any acupuncture services?,Acupuncture Services Provided,acupunctureServicesProvided,radio-question,"Yes
No",None,,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,Endorsement,FALSE,25
31,,2600,"Do you perform any of the following?
• Homeopathy
• Cupping
• Direct moxibustion
• Injections
• Perform acupuncture for purposes of anesthesia
• Prescribe or dispense herbs or herbal drugs other than mugwort
• Prescribe or dispense over the counter or prescription drugs
• Use of non-disposable needles",Services Provided,servicesProvided,radio-question,"Yes
No",KO,YES,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,TRUE,26
33,,2800,What is the most common reason for patients to seek treatment from you?,Common Treatment Reason,commonTreatmentReason,radio-question,"Addiction
General body aches, pains and discomfort
Immune boosting
Insomnia
Relieving Stress
Sexual disorders
Other, please explain",None,,TRUE,"Other, please explain",34,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,TRUE,27
34,,2900,Other,FIX-ME,fIX-ME,input-question,,,,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,,FALSE,28
35,,3000,What is the most common age group that you treat?,Common Age Group,commonAgeGroup,radio-question,"Children up to 12 years old
Teenagers 13 - 17 years old
Adults 18 - 64 years old
Seniors 65+ years old",None,,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,,FALSE,29
36,,3100,Does your business provide any acupressure services?,Acupressure Services Provided,acupressureServicesProvided,radio-question,"Yes
No",None,,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,30
37,,3200,"Do you perform any of the following?
• Homeopathy
• Cupping
• Direct moxibustion
• Injections
• Perform acupuncture for purposes of anesthesia
• Prescribe or dispense over the counter or
    prescription drugs
•Use of non-disposable needles",Services Provided,servicesProvided,radio-question,"Yes
No",KO,Yes,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,,FALSE,31
39,,3300,What is the most common reason for patients to seek treatment from you?,Common Treatment Reason,commonTreatmentReason,radio-question,"Addiction
General body aches, pains and discomfort
Immune boosting
Insomnia
Relieving Stress
Sexual disorders
Other, please explain",None,,TRUE,"Other, please explain",1237,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,32
40,,3400,Does your business provide any acupressure services?,Acupressure Services Provided,acupressureServicesProvided,radio-question,"Yes
No",None,,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,Duplicate question #036,TRUE,33
42,,3500,"Do you perform any of the following?
• Homeopathy
• Cupping
• Direct moxibustion
• Injection
• Perform acupuncture for purposes of anesthesia
• Prescribe or dispense herbs or herbal drugs other than mugwort
• Prescribe or dispense over the counter or prescription drugs
• Use of non-disposable needles
o Yes
o No",Services Provided,servicesProvided,YesNo,"Yes
No",KO,YES,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,FALSE,,Duplicate #037,TRUE,34
43,,3600,"What is the most common reason for patients to seek treatment from you?
• Addiction
• General body aches, pains and discomfort
• Immune boosting
• Insomnia
• Relieving Stress
• Sexual disorders
• Other, please explain",Common Treatment Reason,commonTreatmentReason,radio-question,"Addiction
General body aches, pains and discomfort
Immune boosting
Insomnia
Relieving Stress
Sexual disorders
Other, please explain",,,FALSE,"==""other, please explain""",,6/11/2018,V9.0.91,9/25/2018,V9.0.91,FALSE,,Duplicate #039,TRUE,35
45,,3700,What is the most common age group that you treat?,Common Age Group,commonAgeGroup,radio-question,"Children up to 12 years old
Teenagers 13 - 17 years old
Adults 18 - 64 years old
Seniors 65+ years old",None,,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,FALSE,,Missing after #039,TRUE,36
46,,3800,"Does your business comply with applicable federal, state, and local laws and regulations relating to telemarketing and telesales including “Do Not Call” laws and regulations?",Comply With Do Not Call,complyWithDoNotCall,radio-question,"Yes
No",KO,No,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,Part of question #047,FALSE,37
48,,3900,"Does your business comply with applicable federal, state, and local laws and regulations relating to telemarketing and telesales including “Do Not Call” laws and regulations?",Comply With Do Not Call,complyWithDoNotCall,radio-question,"Yes
No",KO,No,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,,FALSE,38
49,,4000,Does your business maintain logs of calls made and logs of received and delivered messages?,Maintain Logs of Messages,maintainLogsOfMessages,radio-question,"Yes
No",KO,No,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,,FALSE,39
50,,4100,Do you subcontract any professional services?,Professional Services Subcontracted,professionalServicesSubcontracted,radio-question,"Yes
No",KO,Yes,TRUE,Yes,1232,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,If we add Design Professional need to add endorsement,FALSE,40
51,,4200,"Do you or any of your subcontractors provide any of the following services or work on any projects involving the
following materials or infrastructure?
• Aerospace engineering
• Amusement rides, pools or playgrounds
• Asbestos, lead, or mold evaluation or abatement
• Bridges, dams, harbors, mines, piers or tunnels
• Condominiums
• Design/build firms
• Emergency response or clean-up of any hazardous waste
• Foundation, sheeting or retaining wall design
• Geotechnical / soils engineering
• Home inspections for prospective buyers or lenders
• Hydraulic fracturing, hydrofracturing, or fracking
• Laboratory testing
• Land acquisition
• Land surveying, boundary surveying or construction staking
• Marine engineering
• Mechanical engineering
• Mining engineering
• Nuclear engineering
• Oil, gas or well engineering
• Petro / chemical engineering
• Structural engineering
• Underground storage tanks or utilities",Materials or Infrastructure Services,materialsOrInfrastructureServices,radio-question,"Yes
No",KO,YES,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,,FALSE,41
52,,4300,"Other than any design or project management, do you or any of your subcontractors directly perform any of the following physical services?
• Carpentry
• Construction or demolition
• Electrical
• Equipment installation or repair
• Flooring
• Lawn or garden maintenance
• Painting
• Plumbing
• Roofing
• Tiling",Physical Services Performed,physicalServicesPerformed,radio-question,"Yes
No",KO,YES,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,42
55,,4500,In what category do the majority of your projects fall into?,Project Category,projectCategory,radio-question,"• Agricultural / farming
• Entertainment / gaming / theaters
• Government / education
• Healthcare / religious institutions
• Manufacturing / warehouses / industrial / energy / utilities
• Office buildings / parking structures / apartments / shopping centers
• Residential Homes
• Transportation / roads / rails / airports
• Other, Please explain",None,,TRUE,"Other, Please explain",1234,6/11/2018,V9.0.91,6/14/2018,V9.0.91,FALSE,,,FALSE,43
56,,4600,Which of the following does  does your business implement?,Business Implements,businessImplements,checkbox-question,"Customer Sign-Off Deliverables
Contracts with Indemnification clauses in your favor",KO,"Customer Sign-Off Deliverables ||
Contracts with Indemnification clauses in your favor",FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,,FALSE,44
58,,4700,What is the most common reason for patients to seek treatment from you?,Common Treatment Reason,commonTreatmentReason,radio-question,"Emotional disorders
Behavior disorders
Mental health
Learning disabilities
Physical disabilities
Other, please explain",None,,TRUE,"Other, please explain",,6/11/2018,V9.0.91,6/14/2018,V9.0.91,TRUE,,,FALSE,45
59,,4800,What is the most common age group that you treat?,Common Age Group,commonAgeGroup,radio-question,"Children up to 12 years old
Teenagers 13 - 17 years old
Adults 18 - 64 years old
Seniors 65+ years old",None,,FALSE,,,6/11/2018,V9.0.91,9/24/2018,V9.0.91,TRUE,,,TRUE,46
60,,4900,"Do you do any of the following?
• Auction properties or other items that your business owns or in which it has a controlling interest
• Conduct private or other auctions other than public auctions
• Authenticate the ownership of property(ies) or items auctioned
• Conduct auctions on-line or over the Internet",Auction Activities,auctionActivities,radio-question,"Yes
No",KO,Yes       ,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,FALSE,,,FALSE,47
61,,5000,"Does your business auction:
• Antiques
• Automobiles/boats and other vehicles
• Fine art, coins, other precious metals and gems
• Personal property
• Real estate
• Valuable papers/documents
• Other; please explain",Item Types Auctioned,itemTypesAuctioned,checkbox-question,,,,FALSE,,,6/11/2018,V9.0.91,6/24/2018,V9.0.91,FALSE,,"Need to add ""other"" as chaining",FALSE,48
62,,5100,Do you maintain current and valid professional certifications or designations as required or recognized by industry standards?,Professional Certifications Maintained,professionalCertificationsMaintained,radio-question,"Yes
No",KO,No,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,FALSE,49
63,,5200,What is the most common age group that you treat?,Common Age Group,commonAgeGroup,radio-question,"Children 1 year old or younger
Children 2 - 12 years old
Teenagers 13 - 17 years old
Adults 18 - 64 years old
Seniors 65+ years old",None,,FALSE,,,6/11/2018,V9.0.91,6/19/2018,V9.0.91,FALSE,,,FALSE,50
64,,5300,Do you provide any of the following services?,Services Provided,servicesProvided,checkbox-question,"Design personal and industrial hearing safety programs
Design newborn hearing screening programs
Design school hearing screening programs
Fit and dispense hearing aids to your patients
Map cochlear implants for your patients",None,,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,FALSE,,Need to check endorsement info or KO,FALSE,51
66,,5400,Does your business provide any of these additional services?,Additional Services Provided,additionalServicesProvided,checkbox-question,"Beautician/cosmetologist
Esthetician
Nail Technician",None,,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,FALSE,,"If yes, for additional services add endorsments for each selection",FALSE,52
67,,5500,"Does your business provide any of the following services or use any of this equipment?
• Administer Injections
• Chemical peels with solutions 31% or greater?
• Colon hydrotherapy services
• Electrolysis services
• Laser treatment services
• Operate saunas or stream rooms
• Operate tanning beds or booths
• Permanent make up services
• Skin tag removal services
• Tattoos services",Services or Equipment,servicesOrEquipment,radio-question,"Yes
No",KO,Yes,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,FALSE,,,FALSE,53
68,,5600,"Does your business provide any of the following activities?
• Body polishing
• Body wraps
• Chemical peels with solutions up to 30%
• Microdermabrasion",Business Activities,businessActivities,radio-question,"Yes
No",None,,TRUE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,54
69,,5700,Approximately what percentage of your annual revenue comes from providing educational instruction to students seeking a license in your profession?,Educational Instruction Revenue,educationalInstructionRevenue,radio-question,"None
1%-25%
26%-50%
51% - 75%
76% - 100%",None,,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,This is info only question,FALSE,55
70,,5800,Does your business provide any of these additional services?,Additional Services Provided,additionalServiceProvided,checkbox-question,"Barber/hair stylist
Esthetician
Nail Technician",None,,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,FALSE,,"If yes, for additional services add endorsements for each",FALSE,56
71,99,5900,"Does your business provide any of the following services or use any of this equipment?
• Administer Injections
• Chemical peels with solutions 31% or greater?
• Colon hydrotherapy services
• Electrolysis services
• Laser treatment services
• Operate saunas or stream rooms
• Operate tanning beds or booths
• Permanent make up services
• Skin tag removal services
• Tattoos services",Services or Equipment,servicesOrEquipment,YesNo,"Yes
No",KO,YES,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,FALSE,,Duplicate see #67,TRUE,57
72,,6000,"Does your business provide any of the following activities?
• Body polishing
• Body wraps
• Chemical peels with solutions up to 30%
• Microdermabrasion",Business Activities,businessActivities,YesNo,,None,,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,FALSE,,"Check endorsement if Info or KO
dupe see 68",TRUE,58
73,,6100,Does your business provide any full body massage therapy sessions?,Full Body Massage Therapy,fullBodyMassageTherapy,radio-question,"Yes
No",KO,Yes,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,FALSE,,,FALSE,59
74,,6200,"Approximately what percentage of your annual revenue comes from providing educational instruction to students
seeking a license in your profession?",Educational Instruction Revenue,educationalInstructionRevenue,radio-question,"None
1%-25%
26%-50%
51% - 75%
76% - 100%",None,,FALSE,,,6/11/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,,,TRUE,60
75,,6300,Does your business conduct financial audits or provide attestation services?,Financial Audit or Attestation Services,financialAuditOrAttestationServices,radio-question,"Yes
No",KO,Yes,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,FALSE,61
76,,6400,What is your business’s primary type of client?,Primary Type of Client,primaryTypeOfClient,radio-question,"Businesses
Non-publicly known individuals/families
Publicly known individuals/families
Government – Federal
Government – state, local, or foreign
Other; please explain",None,,TRUE,Other; please explain,,6/11/2018,V9.0.91,6/24/2018,V9.0.91,FALSE,,"Did not add chaining question ""Other""",FALSE,62
77,,6500,Do you maintain current and valid professional certifications or designations as required or recognized by industry standards?,Professional Certifications Maintained,professionalCertificationsMaintained,radio-question,"Yes
No",KO,No        ,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,FALSE,,,TRUE,63
78,,6600,What type of consulting services does your business primarily provide?,Primariy Consulting Type,primaryConsultingType,radio-question,"Business continuity planning/disaster recovery
Ecological/”green” consulting
Employee compensation programs/payroll Consulting
General business operations and strategy
Human Resources (including employment practices)
Intellectual property
Logistics management
Organizational structure
Project management
Sarbanes-Oxley compliance
Other; Please explain the type of consulting services you provide and provide your business’s website address
(if you have one)",None,,TRUE,"Other; Please explain the type of consulting services you provide and provide your business’s website address
(if you have one)",1251,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,64
79,,6700,"Does your business provide any of the following services?
• Aerospace consulting or advice
• Actuarial advice
• Architecture or engineering advice
• Construction management or advice
• Credit counseling
• Environmental consulting or advice
• Financing or financial auditing
• General contracting
• Investment or tax advice
• Insurance placement or advice
• Land acquisition
• Law enforcement training
• Legal advice
• Lobbying and/or political advice
• Medical advice
• Mergers and acquisitions or business valuations
• Mining consulting or advice
• Oil, gas, or petroleum consulting or advice
• Safety consulting or advice
• Sales representative",Services Provided,servicesProvided,radio-question,"Yes
No",KO,Yes,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,65
80,,6800,In what industry do the majority of your clients work?,Client Industry,clientIndustry,radio-question,"Agricultural/mining
Aerospace
Construction
Education
Government – Federal
Government – state, local, or foreign
Energy/utilities
Financial institutions
Individual consumers
Medical/healthcare-related
Media/entertainment
Payment processors
Professional service providers (not otherwise listed)
Retail/wholesale trade/consumer products
Technology
Transportation (not including aerospace)
Other/multiple industries; please explain",None,,TRUE,Other/multiple industries; please explain,1252,6/11/2018,V9.0.91,9/24/2018,V9.0.91,TRUE,,Do we need to add the chaining question,FALSE,66
81,,6900,Which of the following does your business implement?,Business Implements,businessImplements,checkbox-question,"Customer sign-off on deliverables
Formal change management procedures
Legal review of contracts
Contracts with indemnification clauses in your favor",KO,"Customer sign-off on deliverables!!
Formal change management procedures!!
Legal review of contracts!!
Contracts with indemnification clauses in your favor",FALSE,,,6/11/2018,V9.0.91,9/24/2018,V9.0.91,FALSE,,Need to add Research consulting not on list at this time.,TRUE,67
82,,7000,"Do your contracts clearly state the ownership rights, licensing, and use of any materials or intellectual property created for or during an engagement?",Intellectual Property Ownership,intellectualPropertyOwnership,radio-question,"Yes
No
Not applicable",KO,No,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,68
83,,7100,Do your contracts state that to the best of your knowledge any materials or intellectual property created are original and do not infringe upon the intellectual property rights of others?,Intellectual Property Original,intellectualPropertyOriginal,radio-question,"Yes
No
Not applicable",KO,No,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,FALSE,69
85,,7200,Does your business function as a public adjuster?,Public Adjuster,publicAdjuster,radio-question,"Yes
No",KO,Yes,FALSE,,,6/11/2018,V9.0.91,9/24/2018,V9.0.91,TRUE,,,FALSE,70
86,,7300,What type of claims does your business primarily adjust?,Claims Primarily Adjusted,claimsPrimarilyAdjusted,radio-question,"Aviation
Casualty and liability (non medical)
Environmental
Life insurance
Marine
Medical
Personal lines (other than life insurance)
Property
Other; please explain",SoftHold,Other; please explain,TRUE,Other; please explain,1253,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,"Need to Chaining separate soft hold to be reviewed, still don't know how to underwrite",FALSE,71
87,,7400,What is the estimated number of claims your business will handle during the next 12 months?,Estimated Number Of Claims,estimatedNumberOfClaims,input-question,,None,,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,FALSE,72
88,,7500,What is the estimated average value of each claim your business will handle during the next 12 months?,Estimated Average Claim Value,estimatedAverageClaimValue,input-question,,None,,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,FALSE,73
89,,7600,Do you maintain current and valid professional licenses as required?,Professional Licenses Maintained,professionalLicensesMaintained,radio-question,"Yes
N/A – licenses are not required
No",KO,No,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,74
90,,7700,What type of work primarily is handled by your business?,Primary Work Type,primaryWorkType,radio-question,"Civil proceedings (including pre-trial depositions)
Closed captioning
Criminal proceedings (including pre-trial depositions)
Other judicial proceedings (not otherwise listed, e.g., arbitrations, mediations)
Other; please explain",SoftHold,Other; please explain,TRUE,Other; please explain,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,086 should be done the same for other explaintion how to review for underwriting,FALSE,75
91,,7800,Does your business have a process to maintain backup copies of recorded information?,Maintain Backups,maintainBackups,radio-question,"Yes
No",KO,No,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,76
92,,7900,Do you maintain current and valid professional certifications or designations as required or recognized by industry standards?,Professional Certifications Maintained,professionalCertificationsMaintained,radio-question,"Yes
No",KO,No,FALSE,,,6/11/2018,V9.0.91,9/24/2018,V9.0.91,TRUE,,,TRUE,77
93,,8000,What type of direct marketing services does your business primarily provide?,Primary Direct Marketing Services Type,primaryDirectMarketingServicesType,radio-question,"Marketing campaigns (servicing, and support)
Marketing plan development/design, research and advice
Market research
Product development and testing
Project management
Public relations
Other; Please explain the type of direct marketing services you provide and provide your business’s website
address (if you have one).",SoftHold,"Other; Please explain the type of direct marketing services you provide and provide your business’s website
address (if you have one).",TRUE,"Other; Please explain the type of direct marketing services you provide and provide your business’s website
address (if you have one).",1255,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,78
94,,8100,"Does your business promote media, artists or entertainers on behalf of or for any entertainment, publishing, music, internet or media company?",Promote Media or Artists,promoteMediaOrArtists,radio-question,"Yes
No",KO,Yes,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,79
95,,8200,In what industry do the majority of your clients work?,Client Industry,clientIndustry,radio-question,"Agricultural/mining
Aerospace
Construction
Education
Government – Federal
Government – state, local, or foreign
Energy/utilities
Financial institutions
Individual consumers
Medical/healthcare-related
Media/entertainment
Payment processors
Professional service providers (not otherwise listed
Retail/wholesale trade/consumer products
Technology
Transportation (not including aerospace)
Other/multiple industries; please explain",None,,TRUE,Other/multiple industries; please explain,1256,6/11/2018,V9.0.91,9/24/2018,V9.0.91,TRUE,,,TRUE,80
96,,8300,"Does your business comply with applicable federal, state, and local laws and regulations relating to telemarketing and telesales including “Do Not Call” laws and regulations?",Comply With Do Not Call,complyWithDoNotCall,radio-question,"Yes
No",KO,No,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,81
103,,8800,"Do your contracts clearly state the ownership rights, licensing, and use of any materials or intellectual property created for or during an engagement?",Intellectual Property Ownership,intellectualPropertyOwnership,radio-question,"Yes
No
Not applicable",KO,No,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,FALSE,,,TRUE,82
104,,8900,"Do your contracts state that to the best of your knowledge any materials or intellectual property created are original
and do not infringe upon the intellectual property rights of others?",Intellectual Property Original,intellectualPropertyOriginal,radio-question,"Yes
No
Not applicable",KO,No,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,83
106,,9000,"Do you have a process in place to screen materials for any potential violations of another party’s copyrights,
trademarks or other intellectual property rights?",Intellectual Property Violation Screening,intellectualPropertyViolationScreening,radio-question,"Yes
No
Not applicable",KO,No,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,84
107,,9100,"Do you have a process in place to screen materials for potential libel, slander or advertising injury?",Screen for Libel or Slander,screenForLibelOrSlander,radio-question,"Yes
No
Not applicable",KO,No,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,85
108,,9200,"Are you the nutritional director at any of the following:
• Correctional facility
• Health department
• Healthcare facility
• Hospital
• Physician’s office
• School or University
• State or local government agency",Nutritional Director,nutritionalDirector,radio-question,,KO,Yes,FALSE,,,6/11/2018,V9.0.91,9/21/2018,V9.0.91,TRUE,,,FALSE,86
